buy_value,sell_value,quantity,buy_wallet,sell_wallet,date_open,date_close,,,,,,,date_open,date_close
19025,19025,0.00005256,0.0000001,0.9999541,12/17/17 4:00 PM,12/17/17 4:00 PM,,,,,,,1.51354E+12,1.51354E+12
18979.97,18979.97,0.00005269,0.0000001,1.00005472,12/17/17 5:00 PM,12/17/17 5:00 PM,,,,,,,1.51355E+12,1.51355E+12
18142.32,18142.32,0.00005512,0.0000001,1.00000478,12/17/17 9:00 PM,12/17/17 9:00 PM,,,,,,,1.51356E+12,1.51356E+12
18238.94,18238.94,0.00005483,0.0000001,1.00004118,12/17/17 10:00 PM,12/17/17 10:00 PM,,,,,,,1.51357E+12,1.51357E+12
18570.03,18570.03,0.00005385,0.0000001,0.99999622,12/17/17 11:00 PM,12/17/17 11:00 PM,,,,,,,1.51357E+12,1.51357E+12
17550.5,17550.5,0.00005698,0.0000001,1.00002759,12/19/17 8:00 AM,12/19/17 8:00 AM,,,,,,,1.51369E+12,1.51369E+12
17200,17200,0.00005814,0.0000001,1.0000081,12/19/17 10:00 PM,12/19/17 10:00 PM,,,,,,,1.51374E+12,1.51374E+12
15250,15250,0.00006557,0.0000001,0.9999426,12/21/17 12:00 PM,12/21/17 12:00 PM,,,,,,,1.51388E+12,1.51388E+12
14722.01,14722.01,0.00006793,0.0000001,1.00006624,12/21/17 1:00 PM,12/21/17 1:00 PM,,,,,,,1.51388E+12,1.51388E+12
13780,13780,0.00007257,0.0000001,1.0000147,12/21/17 11:00 PM,12/21/17 11:00 PM,,,,,,,1.51392E+12,1.51392E+12
14379.99,14379.99,0.00006954,0.0000001,0.9999846,12/22/17 12:00 AM,12/22/17 12:00 AM,,,,,,,1.51392E+12,1.51392E+12
13842.86,13842.86,0.00007224,0.0000001,1.00000831,12/22/17 1:00 AM,12/22/17 1:00 AM,,,,,,,1.51392E+12,1.51392E+12
13415.68,13415.68,0.00007454,0.0000001,1.00000489,12/22/17 5:00 AM,12/22/17 5:00 AM,,,,,,,1.51394E+12,1.51394E+12
12660.27,12660.27,0.00007899,0.0000001,1.00003483,12/22/17 11:00 AM,12/22/17 11:00 AM,,,,,,,1.51396E+12,1.51396E+12
12567.08,12567.08,0.00007957,0.0000001,0.99996266,12/22/17 12:00 PM,12/22/17 12:00 PM,,,,,,,1.51396E+12,1.51396E+12
12157.98,12157.98,0.00008225,0.0000001,0.99999395,12/23/17 10:00 PM,12/23/17 10:00 PM,,,,,,,1.51408E+12,1.51408E+12
13070.2,13070.2,0.00007651,0.0000001,1.0000011,12/24/17 12:00 AM,12/24/17 12:00 AM,,,,,,,1.51409E+12,1.51409E+12
13436.29,13436.29,0.00007443,0.0000001,1.00006316,12/24/17 1:00 AM,12/24/17 1:00 AM,,,,,,,1.5141E+12,1.5141E+12
12899.89,12899.89,0.00007752,0.0000001,0.99999957,12/24/17 9:00 AM,12/24/17 9:00 AM,,,,,,,1.51412E+12,1.51412E+12
13002.61,13002.61,0.00007691,0.0000001,1.00003084,12/24/17 10:00 AM,12/24/17 10:00 AM,,,,,,,1.51413E+12,1.51413E+12
15894.83,15894.83,0.00006291,0.0000001,0.99994386,12/27/17 8:00 AM,12/27/17 8:00 AM,,,,,,,1.51438E+12,1.51438E+12
14571,14571,0.00006863,0.0000001,1.00000783,12/27/17 12:00 PM,12/27/17 12:00 PM,,,,,,,1.51439E+12,1.51439E+12
14701,14701,0.00006802,0.0000001,0.99996212,12/27/17 1:00 PM,12/27/17 1:00 PM,,,,,,,1.5144E+12,1.5144E+12
15049.07,15049.07,0.00006645,0.0000001,1.0000108,12/27/17 2:00 PM,12/27/17 2:00 PM,,,,,,,1.5144E+12,1.5144E+12
14793.25,14793.25,0.0000676,0.0000001,1.0000238,12/27/17 3:00 PM,12/27/17 3:00 PM,,,,,,,1.5144E+12,1.5144E+12
14274.58,14274.58,0.00007005,0.0000001,0.99993443,12/28/17 12:00 AM,12/28/17 12:00 AM,,,,,,,1.51444E+12,1.51444E+12
13801.19,13801.19,0.00007246,0.0000001,1.00003433,12/28/17 8:00 AM,12/28/17 8:00 AM,,,,,,,1.51447E+12,1.51447E+12
13877.69,13877.69,0.00007206,0.0000001,1.00002644,12/28/17 9:00 AM,12/28/17 9:00 AM,,,,,,,1.51447E+12,1.51447E+12
13423.64,13423.64,0.0000745,0.0000001,1.00006128,12/29/17 11:00 PM,12/29/17 11:00 PM,,,,,,,1.51461E+12,1.51461E+12
12958,12958,0.00007717,0.0000001,0.99996896,12/30/17 12:00 AM,12/30/17 12:00 AM,,,,,,,1.51461E+12,1.51461E+12
12482.78,12482.78,0.00008011,0.0000001,0.99999561,12/30/17 8:00 AM,12/30/17 8:00 AM,,,,,,,1.51464E+12,1.51464E+12
12451.88,12451.88,0.00008031,0.0000001,1.00001058,12/30/17 9:00 AM,12/30/17 9:00 AM,,,,,,,1.51464E+12,1.51464E+12
12325.98,12325.98,0.00008113,0.0000001,1.00000686,12/30/17 10:00 AM,12/30/17 10:00 AM,,,,,,,1.51465E+12,1.51465E+12
12313.99,12313.99,0.00008121,0.0000001,1.00001923,12/30/17 11:00 AM,12/30/17 11:00 AM,,,,,,,1.51465E+12,1.51465E+12
12610,12610,0.0000793,0.0000001,0.9999731,12/30/17 2:00 PM,12/30/17 2:00 PM,,,,,,,1.51466E+12,1.51466E+12
13017,13017,0.00007682,0.0000001,0.99996604,1/1/18 9:00 AM,1/1/18 9:00 AM,,,,,,,1.51482E+12,1.51482E+12
13247,13247,0.00007549,0.0000001,1.00001613,1/1/18 11:00 AM,1/1/18 11:00 AM,,,,,,,1.51482E+12,1.51482E+12
13018,13018,0.00007682,0.0000001,1.00004286,1/1/18 12:00 PM,1/1/18 12:00 PM,,,,,,,1.51483E+12,1.51483E+12
14429,14429,0.0000693,0.0000001,0.9999298,1/4/18 6:00 AM,1/4/18 6:00 AM,,,,,,,1.51506E+12,1.51506E+12
14539.97,14539.97,0.00006878,0.0000001,1.00005924,1/4/18 7:00 AM,1/4/18 7:00 AM,,,,,,,1.51507E+12,1.51507E+12
16403.01,16403.01,0.00006096,0.0000001,0.99992759,1/6/18 10:00 AM,1/6/18 10:00 AM,,,,,,,1.51525E+12,1.51525E+12
16556.22,16556.22,0.0000604,0.0000001,0.99999579,1/6/18 11:00 AM,1/6/18 11:00 AM,,,,,,,1.51525E+12,1.51525E+12
16439.65,16439.65,0.00006083,0.0000001,1.00002401,1/7/18 11:00 AM,1/7/18 11:00 AM,,,,,,,1.51534E+12,1.51534E+12
16019.25,16019.25,0.00006242,0.0000001,0.99992168,1/7/18 2:00 PM,1/7/18 2:00 PM,,,,,,,1.51535E+12,1.51535E+12
16100.9,16100.9,0.00006211,0.0000001,1.000027,1/7/18 3:00 PM,1/7/18 3:00 PM,,,,,,,1.51536E+12,1.51536E+12
16145.01,16145.01,0.00006194,0.0000001,1.00002202,1/7/18 4:00 PM,1/7/18 4:00 PM,,,,,,,1.51536E+12,1.51536E+12
15768.71,15768.71,0.00006342,0.0000001,1.00005169,1/8/18 1:00 AM,1/8/18 1:00 AM,,,,,,,1.51539E+12,1.51539E+12
15757.27,15757.27,0.00006346,0.0000001,0.99995645,1/8/18 2:00 AM,1/8/18 2:00 AM,,,,,,,1.51539E+12,1.51539E+12
15865,15865,0.00006303,0.0000001,0.99997105,1/8/18 3:00 AM,1/8/18 3:00 AM,,,,,,,1.5154E+12,1.5154E+12
15183.59,15183.59,0.00006586,0.0000001,0.99999134,1/8/18 6:00 AM,1/8/18 6:00 AM,,,,,,,1.51541E+12,1.51541E+12
15400,15400,0.00006494,0.0000001,1.0000761,1/8/18 7:00 AM,1/8/18 7:00 AM,,,,,,,1.51541E+12,1.51541E+12
15348,15348,0.00006516,0.0000001,1.00007578,1/8/18 8:00 AM,1/8/18 8:00 AM,,,,,,,1.51542E+12,1.51542E+12
14299.98,14299.98,0.00006993,0.0000001,0.9999977,1/8/18 11:00 AM,1/8/18 11:00 AM,,,,,,,1.51543E+12,1.51543E+12
14839.78,14839.78,0.00006739,0.0000001,1.00005287,1/8/18 12:00 PM,1/8/18 12:00 PM,,,,,,,1.51543E+12,1.51543E+12
14699.95,14699.95,0.00006803,0.0000001,1.0000377,1/8/18 1:00 PM,1/8/18 1:00 PM,,,,,,,1.51543E+12,1.51543E+12
14654.96,14654.96,0.00006824,0.0000001,1.00005457,1/9/18 11:00 AM,1/9/18 11:00 AM,,,,,,,1.51551E+12,1.51551E+12
14226.99,14226.99,0.00007029,0.0000001,1.00001523,1/9/18 10:00 PM,1/9/18 10:00 PM,,,,,,,1.51555E+12,1.51555E+12
13692.21,13692.21,0.00007303,0.0000001,0.9999422,1/10/18 6:00 AM,1/10/18 6:00 AM,,,,,,,1.51558E+12,1.51558E+12
12868.84,12868.84,0.00007771,0.0000001,1.00003766,1/11/18 1:00 AM,1/11/18 1:00 AM,,,,,,,1.51565E+12,1.51565E+12
13188.02,13188.02,0.00007583,0.0000001,1.00004766,1/11/18 2:00 AM,1/11/18 2:00 AM,,,,,,,1.51565E+12,1.51565E+12
